# Digitized shear coefficient data from
# Hakkinen et al (1959) Figure 6b
# PJ, 06-May-2013, using g3data
# x(inch)       Cf
0.683009708738  0.00198947010253
0.883495145631  0.00180682560566
1.08737864078  0.00170127710734
1.29126213592  0.00142750430995
1.38980582524  0.0011048770529
1.48834951456  0.000733184375284
1.59029126214  0.000389522275656
1.69563106796  -1.02213955176e-05
2.19514563107  -1.12217584611e-05
2.29368932039  0.000591384629344
2.39563106796  0.00066828327738
2.49417475728  0.000899394338082
2.58932038835  0.000976306596498
2.70145631068  0.00101813809999
2.79660194175  0.00107402232102
2.89514563107  0.00112989973687
2.99708737864  0.00109464885219
