# 1:1e4/T          2:t(micro s)
5.863829787234042  118.70474655681352
5.994326241134752  163.21721285632754
6.221276595744681  167.26468435651773
6.340425531914894  198.55111964445828,
6.839716312056738  266.3985857258773,
7.401418439716313  394.22547112067946,
7.395744680851064  434.8083467104509,
7.900709219858157  692.5091753294398,
8.207092198581561  1024.7980677365986,
8.394326241134753  929.1484492271171,
8.541843971631206  1246.6504003942794

