# Digitized data from Hakkinen et al (1959)
# PJ, 06-May-2013, obtained using g3data
# x(inch)      p/p_st
0.48932038835  0.122979156766
0.791747572816  0.124317333152
0.890291262136  0.125696245502
0.992233009709  0.124976576821
1.08737864078  0.124957566705
1.1859223301  0.124937877656
1.28786407767  0.126316111073
1.3932038835  0.129092266956
1.48495145631  0.134668341367
1.58689320388  0.14024237898
1.6854368932  0.143719193428
1.78398058252  0.145797406477
1.8859223301  0.146476339195
1.98446601942  0.149953153642
2.0932038835  0.150630728495
2.18834951456  0.15900332677
2.29708737864  0.16247810442
2.39563106796  0.170150723063
2.49077669903  0.170131712947
2.5927184466  0.170810645665
2.69126213592  0.172888858714
2.7932038835  0.171469889334
2.88834951456  0.172150179917
2.99029126214  0.172829112635
3.48980582524  0.172729309525
