# Digitized dat from Hakkinen et al (1959)
# PJ, 06-May-2013, using g3dta
# x(inch)       Cf-flat-plate-ideal
0.488485644484  0.00226323096082
0.566442322742  0.00208784119444
0.620707919635  0.00199661102302
0.678371567073  0.00190537404642
0.776788002931  0.00179302741805
0.888804580336  0.00168766289887
0.966880349151  0.00161741308091
1.04836210788  0.00155416578766
1.0891148963  0.00153305613589
1.17061253377  0.00148382750243
1.23852590843  0.00144163541957
1.32003148527  0.00139941611601
1.4287135271  0.00135013304116
1.51361715448  0.00130790693243
1.58153846852  0.00127272417947
1.68004223745  0.00123748017993
1.76496174358  0.00120927273098
1.8498812497  0.00118106528204
1.92461454357  0.00115988757851
2.00613599915  0.00113168693475
2.08426734355  0.00111050242604
2.15900857679  0.00109633405241
2.25752028509  0.00106809938277
2.32887140715  0.00106094714421
2.41040874147  0.00104676516023
2.50213228806  0.00102555343083
2.63803049172  0.00100425323416
2.78073273584  0.000989948757035
2.90303873732  0.000968675781064
2.99477816265  0.000961482711454
