#  x                   y                    theta                d/R
 -4.398374868363e-03   7.344684761182e-03   5.908465697639e+01   2.229947830065e-01
 -4.320553762494e-03   7.422440265029e-03   5.979659600845e+01   2.269075468929e-01
 -4.242607640338e-03   7.499252175767e-03   6.050153430041e+01   2.308824011336e-01
 -4.164560789848e-03   7.575129303792e-03   6.119942955155e+01   2.349184104380e-01
 -4.086453834183e-03   7.650063548163e-03   6.189009149541e+01   2.390135743178e-01
 -4.008290274425e-03   7.724082865826e-03   6.257366039547e+01   2.431678350758e-01
 -3.930091166829e-03   7.797197348898e-03   6.325011623342e+01   2.473801367900e-01
 -3.851873731821e-03   7.869420188121e-03   6.391947029398e+01   2.516495674330e-01
 -3.773629235948e-03   7.940787432445e-03   6.458194970485e+01   2.559765909823e-01
 -3.695373314160e-03   8.011311736277e-03   6.523756750537e+01   2.603603280275e-01
 -3.617088447231e-03   8.081034046690e-03   6.588660664334e+01   2.648016711420e-01
 -3.538767874309e-03   8.149984954157e-03   6.652925165614e+01   2.693010516094e-01
 -3.460398665672e-03   8.218197447302e-03   6.716572399913e+01   2.738590590048e-01
 -3.381953930135e-03   8.285716910734e-03   6.779635158333e+01   2.784773876858e-01
 -3.303418167792e-03   8.352575475580e-03   6.842135380092e+01   2.831568904230e-01
 -3.224771603671e-03   8.418808099883e-03   6.904097547112e+01   2.878987927541e-01
 -3.145961375492e-03   8.484475837965e-03   6.965570798168e+01   2.927064096905e-01
 -3.066979183921e-03   8.549599919522e-03   7.026567847212e+01   2.975803234820e-01
 -2.987775414588e-03   8.614234652135e-03   7.087132363982e+01   3.025237713375e-01
 -2.908303385082e-03   8.678429731213e-03   7.147304014457e+01   3.075399176744e-01
 -2.828538465854e-03   8.742215200352e-03   7.207104361820e+01   3.126306073954e-01
 -2.748430025084e-03   8.805640320785e-03   7.266573241232e+01   3.177994107511e-01
 -2.667916591912e-03   8.868761405199e-03   7.325756873193e+01   3.230508019597e-01
 -2.586947440750e-03   8.931624151519e-03   7.384691758327e+01   3.283886744136e-01
 -2.505477584216e-03   8.994268002912e-03   7.443408712800e+01   3.338166415707e-01
 -2.423434564219e-03   9.056751821039e-03   7.501956731076e+01   3.393402932493e-01
 -2.340755636798e-03   9.119125013268e-03   7.560375902100e+01   3.449647439337e-01
 -2.257378238393e-03   9.181435025238e-03   7.618704419673e+01   3.506952528223e-01
 -2.173229743371e-03   9.243734979060e-03   7.676985680104e+01   3.565379394753e-01
 -2.088231653566e-03   9.306080388971e-03   7.735265108988e+01   3.624995311360e-01
 -2.002294436027e-03   9.368532619867e-03   7.793593449257e+01   3.685877307265e-01
 -1.915325813789e-03   9.431152977423e-03   7.852020903035e+01   3.748107064991e-01
 -1.827229309890e-03   9.494002813647e-03   7.910597908753e+01   3.811770813809e-01
 -1.737875594970e-03   9.557165747832e-03   7.969394010996e+01   3.876983492359e-01
 -1.647166928203e-03   9.620699740611e-03   8.028454751840e+01   3.943839425905e-01
 -1.554984094958e-03   9.684673794351e-03   8.087836683806e+01   4.012449423788e-01
 -1.461154552276e-03   9.749194650532e-03   8.147627335652e+01   4.082973433685e-01
 -1.365559854712e-03   9.814324291726e-03   8.207875239662e+01   4.155529317013e-01
 -1.267999300721e-03   9.880181545558e-03   8.268677032391e+01   4.230307524594e-01
 -1.168315918335e-03   9.946849637004e-03   8.330096796768e+01   4.307467708045e-01
 -1.066295468547e-03   1.001444690300e-02   8.392228928750e+01   4.387220292797e-01
 -9.617104202336e-04   1.008309620234e-02   8.455169674779e+01   4.469793727858e-01
 -8.543266958958e-04   1.015292296691e-02   8.519012667933e+01   4.555433719617e-01
 -7.438966448149e-04   1.022405216893e-02   8.583852249414e+01   4.644398871535e-01
 -6.301574408526e-04   1.029662588545e-02   8.649784445533e+01   4.736986859054e-01
 -5.128200719424e-04   1.037077061481e-02   8.716910983249e+01   4.833488557936e-01
 -3.915589743849e-04   1.044669668488e-02   8.785346696233e+01   4.934331770157e-01
 -2.660605366107e-04   1.052446047879e-02   8.855185929354e+01   5.039747106177e-01
 -1.354673762738e-04   1.060477633591e-02   8.926813291172e+01   5.150916490414e-01
 -2.223915496202e-15   1.068686816346e-02   8.999999999999e+01   5.266954519225e-01
