# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:k_modes[0] 14:mu_t 15:k_t 16:S 17:massf[0]-N2 18:massf[1]-N 19:dt_chem 20:u 21:T 22:u_modes[0] 23:T_modes[0] 24:dt_therm
-1.499298866373164826e-02 1.396970860006242852e-03 0.000000000000000000e+00 2.458770562812822147e-07 2.406584564857112279e-03 4.999999999676334483e+03 8.439026773569232488e-09 0.000000000000000000e+00 5.000000086961089778e+02 5.336164586422560205e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096851403305107960e+05 7.000000121123285908e+02 8.652867051939831072e+03 6.999998480512589367e+02 2.252100620077947706e-07
-1.474086955805778421e-02 1.387212734540897588e-03 0.000000000000000000e+00 2.441590463336602714e-07 2.406584565399932842e-03 4.999999998349876478e+03 4.314259788953474958e-08 0.000000000000000000e+00 5.000000210470448110e+02 5.336164684368324060e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096851530437121401e+05 7.000000292457492606e+02 8.652854376242847138e+03 6.999996332410668174e+02 2.252100620077947706e-07
-1.448875046699992127e-02 1.377454609641244783e-03 0.000000000000000000e+00 2.424410363860384869e-07 2.406584565941636243e-03 4.999999997480326783e+03 6.676683716110177144e-08 0.000000000000000000e+00 5.000000326812012759e+02 5.336164799788709843e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096851650125522865e+05 7.000000453760037544e+02 8.652842455753245304e+03 6.999994312289130676e+02 2.252100620077947706e-07
-1.423663139087078151e-02 1.367696485319400612e-03 0.000000000000000000e+00 2.407230264384143730e-07 2.406584566301582691e-03 4.999999996700921656e+03 8.882840704827768881e-08 0.000000000000000000e+00 5.000000416440685171e+02 5.336164885186935862e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096851742456409847e+05 7.000000578193206593e+02 8.652833252805872689e+03 6.999992752698343565e+02 2.252100620077947706e-07
-1.398451232999222901e-02 1.357938361587834267e-03 0.000000000000000000e+00 2.390050164907940178e-07 2.406584566684973493e-03 4.999999995939513610e+03 1.109984651076829066e-07 0.000000000000000000e+00 5.000000511645969823e+02 5.336164970084432753e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096851840529774781e+05 7.000000710365441137e+02 8.652823479617254634e+03 6.999991096469726699e+02 2.252100620077947706e-07
-1.373239328469563064e-02 1.348180238459354080e-03 0.000000000000000000e+00 2.372870065431692157e-07 2.406584567102066068e-03 4.999999995068467797e+03 1.366941554555090928e-07 0.000000000000000000e+00 5.000000618013760914e+02 5.336165063852545245e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096851950126200682e+05 7.000000858067157878e+02 8.652812553494826716e+03 6.999989244856086543e+02 2.252100620077947706e-07
-1.348027425532205038e-02 1.338422115947159345e-03 0.000000000000000000e+00 2.355689965955489665e-07 2.406584567556242695e-03 4.999999994142454852e+03 1.645609680005406486e-07 0.000000000000000000e+00 5.000000729965477149e+02 5.336165164321948851e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852065443260944e+05 7.000001013478502045e+02 8.652801068557959297e+03 6.999987298540459051e+02 2.252100620077947706e-07
-1.322815524222224065e-02 1.328663994064834897e-03 0.000000000000000000e+00 2.338509866479301465e-07 2.406584568009992146e-03 4.999999993212322806e+03 1.933720888400802040e-07 0.000000000000000000e+00 5.000000842507419634e+02 5.336165265936871265e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852181374380598e+05 7.000001169717406810e+02 8.652789498350943177e+03 6.999985337772812954e+02 2.252100620077947706e-07
-1.297603624575753394e-02 1.318905872826365861e-03 0.000000000000000000e+00 2.321329767003038886e-07 2.406584568495246778e-03 4.999999992222099536e+03 2.246292204158017206e-07 0.000000000000000000e+00 5.000000962864393159e+02 5.336165373558133069e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852305355888093e+05 7.000001336805715937e+02 8.652777183533076823e+03 6.999983250816572991e+02 2.252100620077947706e-07
-1.272391726630014118e-02 1.309147752246154562e-03 0.000000000000000000e+00 2.304149667526844599e-07 2.406584568983500313e-03 4.999999991224603946e+03 2.570973996476232140e-07 0.000000000000000000e+00 5.000001082250488480e+02 5.336165482197000074e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852428322357009e+05 7.000001502526072272e+02 8.652764835084162769e+03 6.999981158159125698e+02 2.252100620077947706e-07
