# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:k_modes[0] 14:mu_t 15:k_t 16:S 17:massf[0]-N2 18:massf[1]-N 19:dt_chem 20:u 21:T 22:u_modes[0] 23:T_modes[0] 24:dt_therm
-1.499298866373164826e-02 1.396970860006242852e-03 0.000000000000000000e+00 2.458770562812822147e-07 2.406584564853779876e-03 4.999999999683655005e+03 8.248277109598681048e-09 0.000000000000000000e+00 5.000000086954344738e+02 5.336164586316829173e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096851403305294225e+05 7.000000121123536019e+02 8.652867051939831072e+03 6.999998480512589367e+02 2.280392807159730262e-07
-1.474086955805778421e-02 1.387212734540897588e-03 0.000000000000000000e+00 2.441590463336602714e-07 2.406584565394985411e-03 4.999999998346163011e+03 4.323444244715694861e-08 0.000000000000000000e+00 5.000000210456888112e+02 5.336164683830418198e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096851530433712760e+05 7.000000292452898520e+02 8.652854376242847138e+03 6.999996332410668174e+02 2.280392807159730262e-07
-1.448875046699992127e-02 1.377454609641244783e-03 0.000000000000000000e+00 2.424410363860384869e-07 2.406584565939764043e-03 4.999999997482984327e+03 6.669080803707214702e-08 0.000000000000000000e+00 5.000000326807908095e+02 5.336164799453850947e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096851650125299348e+05 7.000000453759736274e+02 8.652842455753245304e+03 6.999994312289130676e+02 2.280392807159730262e-07
-1.423663139087078151e-02 1.367696485319400612e-03 0.000000000000000000e+00 2.407230264384143730e-07 2.406584566298474066e-03 4.999999996702749741e+03 8.877393195687693346e-08 0.000000000000000000e+00 5.000000416433168198e+02 5.336164884914932145e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096851742455310887e+05 7.000000578191725253e+02 8.652833252805872689e+03 6.999992752698343565e+02 2.280392807159730262e-07
-1.398451232999222901e-02 1.357938361587834267e-03 0.000000000000000000e+00 2.390050164907940178e-07 2.406584566682360132e-03 4.999999995942133864e+03 1.109200581473709233e-07 0.000000000000000000e+00 5.000000511639643150e+02 5.336164969805797682e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096851840528843459e+05 7.000000710364186034e+02 8.652823479617254634e+03 6.999991096469726699e+02 2.280392807159730262e-07
-1.373239328469563064e-02 1.348180238459354080e-03 0.000000000000000000e+00 2.372870065431692157e-07 2.406584567099008184e-03 4.999999995071088961e+03 1.366140987547260426e-07 0.000000000000000000e+00 5.000000618006313857e+02 5.336165063536835760e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096851950125064468e+05 7.000000858065626517e+02 8.652812553494826716e+03 6.999989244856086543e+02 2.280392807159730262e-07
-1.348027425532205038e-02 1.338422115947159345e-03 0.000000000000000000e+00 2.355689965955489665e-07 2.406584567553273282e-03 4.999999994145204255e+03 1.644745227942730470e-07 0.000000000000000000e+00 5.000000729958195507e+02 5.336165163989526263e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096852065442106104e+05 7.000001013476945673e+02 8.652801068557959297e+03 6.999987298540459051e+02 2.280392807159730262e-07
-1.322815524222224065e-02 1.328663994064834897e-03 0.000000000000000000e+00 2.338509866479301465e-07 2.406584568006914747e-03 4.999999993215147697e+03 1.932811789359867386e-07 0.000000000000000000e+00 5.000000842499860028e+02 5.336165265599912573e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096852181373169878e+05 7.000001169715774267e+02 8.652789498350943177e+03 6.999985337772812954e+02 2.280392807159730262e-07
-1.297603624575753394e-02 1.318905872826365861e-03 0.000000000000000000e+00 2.321329767003038886e-07 2.406584568492106495e-03 4.999999992225066308e+03 2.245313673504556684e-07 0.000000000000000000e+00 5.000000962856237834e+02 5.336165373204140678e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096852305354193086e+05 7.000001336803431968e+02 8.652777183533076823e+03 6.999983250816572991e+02 2.280392807159730262e-07
-1.272391726630014118e-02 1.309147752246154562e-03 0.000000000000000000e+00 2.304149667526844599e-07 2.406584568980355693e-03 4.999999991227477040e+03 2.569993453556610263e-07 0.000000000000000000e+00 5.000001082243040855e+02 5.336165481840738494e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096852428321407060e+05 7.000001502524792159e+02 8.652764835084162769e+03 6.999981158159125698e+02 2.280392807159730262e-07
-1.247179830423314657e-02 1.299389632339017055e-03 0.000000000000000000e+00 2.286969568050631254e-07 2.406584569473450407e-03 4.999999990227653143e+03 2.905484811006950782e-07 0.000000000000000000e+00 5.000001202598532473e+02 5.336165590061223156e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096852552284452831e+05 7.000001669588220921e+02 8.652752684650607989e+03 6.999979099057072744e+02 2.280392807159730262e-07
-1.221967935995179645e-02 1.289631513120288514e-03 0.000000000000000000e+00 2.269789468574303029e-07 2.406584569967767234e-03 4.999999989219600138e+03 3.254760605383493406e-07 0.000000000000000000e+00 5.000001321496937408e+02 5.336165701153792043e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096852674731216102e+05 7.000001834608175386e+02 8.652740021739637086e+03 6.999976953104984432e+02 2.280392807159730262e-07
-1.196756043386238734e-02 1.279873394605636743e-03 0.000000000000000000e+00 2.252609369098222827e-07 2.406584570391855516e-03 4.999999988366884281e+03 3.575227239826911160e-07 0.000000000000000000e+00 5.000001422294427016e+02 5.336165792845931719e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.280392807159730262e-07 2.096852778526019247e+05 7.000001974491119654e+02 8.652730421502510580e+03 6.999975326175402870e+02 2.280392807159730262e-07
