# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-LUT 17:u 18:T 19:M_local 20:pitot_p
5.089420629832738241e-01 2.489231643595723326e-02 0.000000000000000000e+00 3.384852009699193895e-07 2.570324745082299689e-01 1.923653877308588790e+03 -3.922823288046968504e-02 0.000000000000000000e+00 4.307524172017452656e+04 4.804553818819630351e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.241990138713817578e+05 5.838131406951321196e+02 4.003813778031877213e+00 8.984616186539392220e+05
5.089419733694443559e-01 2.726301323917873498e-02 0.000000000000000000e+00 3.707334705127929251e-07 2.569905883138750013e-01 1.923727926205862104e+03 6.443222329489678435e-02 0.000000000000000000e+00 4.306626141083444963e+04 4.804449516373369988e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.241788026941958815e+05 5.837865606194047814e+02 4.004054826112549925e+00 8.983813853834741749e+05
5.089418756089416629e-01 2.963371004234734846e-02 0.000000000000000000e+00 4.029848992564330930e-07 2.570427888406764394e-01 1.923760180059571894e+03 1.408049170139598905e-01 0.000000000000000000e+00 4.307912069987600989e+04 4.804668185914445075e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.242211760331266560e+05 5.838422864157046206e+02 4.003939732721353728e+00 8.985962516087190015e+05
5.089417697017237785e-01 3.200440684545569764e-02 0.000000000000000000e+00 4.352397619139944006e-07 2.571770589248442707e-01 1.923760876243090479e+03 1.572694453832964301e-01 0.000000000000000000e+00 4.311120322108463006e+04 4.805177349218803329e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.243198511894135736e+05 5.839720536361413679e+02 4.003516921148214891e+00 8.990731284623754909e+05
5.089416556477729392e-01 3.437510364849818978e-02 0.000000000000000000e+00 4.674983331985629577e-07 2.574345231389955635e-01 1.923707353222007441e+03 1.323849132609672408e-01 0.000000000000000000e+00 4.317156497679493623e+04 4.806090601293306008e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.244968751044301316e+05 5.842048502066646734e+02 4.002644805030409536e+00 8.999365619171916042e+05
5.089415334471385499e-01 3.674580045147315954e-02 0.000000000000000000e+00 4.997608878232721490e-07 2.578202508186610564e-01 1.923572527020345660e+03 8.005652621523028090e-02 0.000000000000000000e+00 4.326433064593552990e+04 4.807578617652683306e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.247854123151230160e+05 5.845842746332457409e+02 4.001125476395141156e+00 9.011816009277631529e+05
5.089414030997796434e-01 3.911649725437291863e-02 0.000000000000000000e+00 5.320277005012096723e-07 2.583807883650204862e-01 1.923367432702767928e+03 -5.350699017952723069e-03 0.000000000000000000e+00 4.339340955423973355e+04 4.809429425078170084e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.251444730125695933e+05 5.850564049270416263e+02 3.999159282140727356e+00 9.029777419777937466e+05
5.089412646057095424e-01 4.148719405719358821e-02 0.000000000000000000e+00 5.642990459454650253e-07 2.589475577085803004e-01 1.922977258577740713e+03 -1.230002933813588994e-01 0.000000000000000000e+00 4.354788534291213000e+04 4.812554449066362281e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.257511767304849345e+05 5.858540812877614599e+02 3.995751700813612306e+00 9.046421134063976351e+05
5.089411179649387940e-01 4.385789085993126168e-02 0.000000000000000000e+00 5.965751988691858866e-07 2.597764632787010752e-01 1.922721217770324074e+03 -3.998217315872956701e-02 0.000000000000000000e+00 4.372638324425594328e+04 4.814607303379061705e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.261500279480011668e+05 5.863784240137983943e+02 3.993516183213107418e+00 9.073297425165682798e+05
5.089409631774740594e-01 4.622858766258181040e-02 0.000000000000000000e+00 6.288564339854826651e-07 2.599423331393655445e-01 1.921208826494718778e+03 2.448209153421420647e-01 0.000000000000000000e+00 4.396870067968752119e+04 4.825838140972667247e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.283363295648705680e+05 5.892518289070724222e+02 3.981088436808486009e+00 9.066672995761671336e+05
