pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T vel.x vel.y vel.z mu a Re y+ tau_wall.x tau_wall.y tau_wall.z q_total q_cond q_diff
-9.4373582414714009e-04 6.5319888593808606e-03 0.0000000000000000e+00 1.4299435394172447e-01 -9.8972350418730026e-01 0.0000000000000000e+00 6.5113611180076993e-07 1.0000285163133243e-06 1 6.8170725794273835e+02 8.0217311850582559e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4950998228589606e+02 1.5338835078852664e-01 3.2949058276558134e-02 1.7919605415971901e+02 2.4495238892383703e+01 0.0000000000000000e+00 -4.0968817579341371e+05 -4.0968817579341371e+05 0.0000000000000000e+00
-1.0422823546915000e-03 6.5169903527586993e-03 0.0000000000000000e+00 1.5792607223396551e-01 -9.8745093838061260e-01 0.0000000000000000e+00 6.4964099801427299e-07 1.0000285163212578e-06 1 7.0567683086578973e+02 8.3037840286639200e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4964336199178410e+02 1.5884224711928352e-01 3.3811729494254573e-02 1.8188477703027397e+02 2.7739630209828427e+01 0.0000000000000000e+00 -4.2115979557343503e+05 -4.2115979557343503e+05 0.0000000000000000e+00
-1.1405911189622101e-03 6.5005051853068551e-03 0.0000000000000000e+00 1.7282176430583748e-01 -9.8495311450962864e-01 0.0000000000000000e+00 6.4799768648494219e-07 1.0000285163185495e-06 1 7.3068806537902287e+02 8.5980942293167346e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4978204667233337e+02 1.6453731447157072e-01 3.4706145721023644e-02 1.8464893985583024e+02 3.0891950531033604e+01 0.0000000000000000e+00 -4.3306490435424901e+05 -4.3306490435424901e+05 0.0000000000000000e+00
-1.2386396906752650e-03 6.4825371176368057e-03 0.0000000000000000e+00 1.8767803213863621e-01 -9.8223060238040294e-01 0.0000000000000000e+00 6.4620655419092706e-07 1.0000285163150993e-06 1 7.5673939562481837e+02 8.9046433613820166e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4992313492323700e+02 1.7047232188132522e-01 3.5613056968559140e-02 1.8725150478206771e+02 3.4155686939699031e+01 0.0000000000000000e+00 -4.4515525478663621e+05 -4.4515525478663621e+05 0.0000000000000000e+00
-1.3364057029766349e-03 6.4630902486276605e-03 0.0000000000000000e+00 2.0249148671873460e-01 -9.7928402305277928e-01 0.0000000000000000e+00 6.4426800860735800e-07 1.0000285163163827e-06 1 7.8376140638775280e+02 9.2226146076823130e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5006540521763981e+02 1.7663141362509524e-01 3.6510429469905521e-02 1.8953785752868279e+02 3.7215914034757972e+01 0.0000000000000000e+00 -4.5732918932619807e+05 -4.5732918932619807e+05 0.0000000000000000e+00
-1.4338668534262351e-03 6.4421690145087251e-03 0.0000000000000000e+00 2.1725874879182358e-01 -9.7611404870200047e-01 0.0000000000000000e+00 6.4218249249895724e-07 1.0000285163227967e-06 1 8.1118743286671088e+02 9.5453399554399736e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5020667290497647e+02 1.8288601919186404e-01 3.7392874217194338e-02 1.9151990129157710e+02 4.0507546565663773e+01 0.0000000000000000e+00 -4.6939707850399415e+05 -4.6939707850399415e+05 0.0000000000000000e+00
-2.8442909231812452e-03 5.9554617712790203e-03 0.0000000000000000e+00 4.3096545937550029e-01 -9.0236842410695184e-01 0.0000000000000000e+00 5.9366546745893380e-07 1.0000285163169490e-06 1 1.3138905137135014e+03 1.5460707488159253e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5275144224928874e+02 2.9837528800849061e-01 5.2161336096696466e-02 2.1350111840089980e+02 9.8622847013546263e+01 0.0000000000000000e+00 -6.8321713834056898e+05 -6.8321713834056898e+05 0.0000000000000000e+00
-1.5310009091257051e-03 6.4197781878430147e-03 0.0000000000000000e+00 2.3197644964101713e-01 -9.7272140246421468e-01 0.0000000000000000e+00 6.3995048102556849e-07 1.0000285163161733e-06 1 8.3894945469266952e+02 9.8720190008026783e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5035123531838411e+02 1.8922317501770108e-01 3.8301097343159445e-02 1.9362828993001580e+02 4.4093089373829642e+01 0.0000000000000000e+00 -4.8171790285439743e+05 -4.8171790285439743e+05 0.0000000000000000e+00
-1.6277857117098600e-03 6.3959228764585204e-03 0.0000000000000000e+00 2.4664123184256245e-01 -9.6910685827476395e-01 0.0000000000000000e+00 6.3757248283730103e-07 1.0000285163223927e-06 1 8.6770700333104287e+02 1.0210412529741234e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5050267490136969e+02 1.9579397138431084e-01 3.9244430016134077e-02 1.9587185758569188e+02 4.7623007876189668e+01 0.0000000000000000e+00 -4.9459915487112367e+05 -4.9459915487112367e+05 0.0000000000000000e+00
-1.7241991824931053e-03 6.3706085222643098e-03 0.0000000000000000e+00 2.6124975004562434e-01 -9.6527124068890546e-01 0.0000000000000000e+00 6.3504904102463000e-07 1.0000285163223636e-06 1 8.9741832179320681e+02 1.0560029182755008e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5065805101520584e+02 2.0258795598246263e-01 4.0188146299557109e-02 1.9790139359917060e+02 5.1094585317994110e+01 0.0000000000000000e+00 -5.0779398240225471e+05 -5.0779398240225471e+05 0.0000000000000000e+00
-1.8202193276267600e-03 6.3438408999743449e-03 0.0000000000000000e+00 2.7579867175378719e-01 -9.6121542468837184e-01 0.0000000000000000e+00 6.3238073231229889e-07 1.0000285163164946e-06 1 9.2755499264987770e+02 1.0914651008484636e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5081458249790040e+02 2.0948463823269617e-01 4.1134877554963950e-02 1.9978602241318970e+02 5.4843255006228411e+01 0.0000000000000000e+00 -5.2105926741716044e+05 -5.2105926741716044e+05 0.0000000000000000e+00
-1.9158242429433100e-03 6.3156261158341352e-03 0.0000000000000000e+00 2.9028467805944236e-01 -9.5694033548802071e-01 0.0000000000000000e+00 6.2956816373327240e-07 1.0000285163220860e-06 1 9.5849193731353148e+02 1.1278689752223079e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5097515861287349e+02 2.1657070939065104e-01 4.2106001892700397e-02 2.0172760029833040e+02 5.8605072980936839e+01 0.0000000000000000e+00 -5.3463834983247169e+05 -5.3463834983247169e+05 0.0000000000000000e+00
-2.0109921190293797e-03 6.2859706062030150e-03 0.0000000000000000e+00 3.0470446441136667e-01 -9.5244694832194310e-01 0.0000000000000000e+00 6.2661197897351032e-07 1.0000285163171862e-06 1 9.9043653739619390e+02 1.1654585698307948e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5113949079209590e+02 2.2389335504016905e-01 4.3092334858615411e-02 2.0357322198130743e+02 6.2421916058613299e+01 0.0000000000000000e+00 -5.4850870421153877e+05 -5.4850870421153877e+05 0.0000000000000000e+00
-2.1057012461089299e-03 6.2548811361195951e-03 0.0000000000000000e+00 3.1905474135610901e-01 -9.4773628822483447e-01 0.0000000000000000e+00 6.2351284952240806e-07 1.0000285163182005e-06 1 1.0232903400064937e+03 1.2041180339741159e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5130721745439774e+02 2.3143062208312590e-01 4.4093110835266479e-02 2.0531438379926993e+02 6.6372156127461665e+01 0.0000000000000000e+00 -5.6263644454752200e+05 -5.6263644454752200e+05 0.0000000000000000e+00
-2.1999300189323150e-03 6.2223647977802457e-03 0.0000000000000000e+00 3.3333223527735650e-01 -9.4280942980275761e-01 0.0000000000000000e+00 6.2027148359975175e-07 1.0000285163096994e-06 1 1.0573272822105155e+03 1.2441697126882307e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5147834196721334e+02 2.3924500737839469e-01 4.5079889712199450e-02 2.0677245200161784e+02 6.9942196882379648e+01 0.0000000000000000e+00 -5.7702962705846864e+05 -5.7702962705846864e+05 0.0000000000000000e+00
-2.2936569420155001e-03 6.1884290088192401e-03 0.0000000000000000e+00 3.4753368919101230e-01 -9.3766749697175966e-01 0.0000000000000000e+00 6.1688862185034462e-07 1.0000285163101532e-06 1 1.0915337379531452e+03 1.2844208600192770e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5164845255460847e+02 2.4710455468044124e-01 4.6057732482266543e-02 2.0792209253922374e+02 7.4045483455557530e+01 0.0000000000000000e+00 -5.9130758699296287e+05 -5.9130758699296287e+05 0.0000000000000000e+00
-2.3868606344034050e-03 6.1530815106563205e-03 0.0000000000000000e+00 3.6165586346588630e-01 -9.3231166270767207e-01 0.0000000000000000e+00 6.1336503536847144e-07 1.0000285163171607e-06 1 1.1265195488425406e+03 1.3255890839124701e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5182449599484022e+02 2.5515241477303841e-01 4.7063967327700795e-02 2.0924094847426460e+02 7.7996284980570522e+01 0.0000000000000000e+00 -6.0605016035530053e+05 -6.0605016035530053e+05 0.0000000000000000e+00
-2.4795198343218702e-03 6.1163303668175760e-03 0.0000000000000000e+00 3.7569553652909354e-01 -9.2674314879157138e-01 0.0000000000000000e+00 6.0970152620322056e-07 1.0000285163239876e-06 1 1.1624329673510229e+03 1.3678488348326722e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5200394970116668e+02 2.6342096173380009e-01 4.8078303728611299e-02 2.1040012424046165e+02 8.2055619798727648e+01 0.0000000000000000e+00 -6.2105015933056118e+05 -6.2105015933056118e+05 0.0000000000000000e+00
-2.5716134042073650e-03 6.0781839610325600e-03 0.0000000000000000e+00 3.8964950562826378e-01 -9.2096322552187138e-01 0.0000000000000000e+00 6.0589893183906621e-07 1.0000285163159442e-06 1 1.1990761488482897e+03 1.4109673066270660e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5218680894531616e+02 2.7186589273330647e-01 4.9101484442118787e-02 2.1145758128712231e+02 8.6196679010006392e+01 0.0000000000000000e+00 -6.3630232768308080e+05 -6.3630232768308080e+05 0.0000000000000000e+00
-2.6631203356587002e-03 6.0386509952681400e-03 0.0000000000000000e+00 4.0351458758155884e-01 -9.1497321141598686e-01 0.0000000000000000e+00 6.0195811968572678e-07 1.0000285163170428e-06 1 1.2366789209165156e+03 1.4552149401720886e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5237325769645685e+02 2.8053998922174900e-01 5.0132597991173901e-02 2.1239566252552081e+02 9.0325555895892677e+01 0.0000000000000000e+00 -6.5182313270246284e+05 -6.5182313270246284e+05 0.0000000000000000e+00
-2.7540197539920449e-03 5.9977404878405107e-03 0.0000000000000000e+00 4.1728761946791809e-01 -9.0877447292427727e-01 0.0000000000000000e+00 5.9787998735240929e-07 1.0000285163160319e-06 1 1.2752255135291980e+03 1.5005731786881386e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5256211970362665e+02 2.8943931241395088e-01 5.1144858106668287e-02 2.1304499096831836e+02 9.4240126714163509e+01 0.0000000000000000e+00 -6.6751953273714369e+05 -6.6751953273714369e+05 0.0000000000000000e+00
-5.0379062319761709e-03 4.2634512501831656e-03 0.0000000000000000e+00 7.6334089310587749e-01 -6.4599588304595357e-01 0.0000000000000000e+00 4.2499874378417426e-07 1.0000285163189986e-06 1 2.6749083611894566e+03 3.1475967973233612e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5876170588110847e+02 6.1780278928916721e-01 7.6122700075936273e-02 1.5729469583200023e+02 1.8917415052317835e+02 0.0000000000000000e+00 -1.1681539400174301e+06 -1.1681539400174301e+06 0.0000000000000000e+00
-5.1017235191792203e-03 4.1868762698157157e-03 0.0000000000000000e+00 7.7301045477800179e-01 -6.3439328243914039e-01 0.0000000000000000e+00 4.1736542617393627e-07 1.0000285163241699e-06 1 2.7284909771380708e+03 3.2106481050986561e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.5898801018369755e+02 6.3057586151209755e-01 7.6603651799848849e-02 1.5301427027979335e+02 1.9038204098456285e+02 0.0000000000000000e+00 -1.1859791240560440e+06 -1.1859791240560440e+06 0.0000000000000000e+00
