#   x(m)    rho    f_N2    f_O2
8.50000000e-06  1.39484299  0.06979375  0.93020625
8.75000000e-06  1.39588438  0.06449775  0.93550225
9.00000000e-06  1.39686476  0.05951926  0.94048074
9.25000000e-06  1.39778610  0.05484690  0.94515310
9.50000000e-06  1.39865047  0.05046903  0.94953097
9.75000000e-06  1.39946000  0.04637384  0.95362616
1.00000000e-05  1.40021686  0.04254938  0.95745062
1.02500000e-05  1.40092326  0.03898365  0.96101635
1.05000000e-05  1.40158142  0.03566462  0.96433538
1.07500000e-05  1.40219359  0.03258036  0.96741964
1.10000000e-05  1.40276198  0.02971901  0.97028099
1.12500000e-05  1.40328884  0.02706888  0.97293112
1.15000000e-05  1.40377634  0.02461845  0.97538155
1.17500000e-05  1.40422665  0.02235648  0.97764352
1.20000000e-05  1.40464189  0.02027194  0.97972806
1.22500000e-05  1.40502414  0.01835414  0.98164586
1.25000000e-05  1.40537540  0.01659271  0.98340729
1.27500000e-05  1.40569763  0.01497762  0.98502238
1.30000000e-05  1.40599273  0.01349919  0.98650081
1.32500000e-05  1.40626251  0.01214816  0.98785184
1.35000000e-05  1.40650871  0.01091561  0.98908439
1.37500000e-05  1.40673302  0.00979308  0.99020692
1.40000000e-05  1.40693703  0.00877246  0.99122754
1.42500000e-05  1.40712225  0.00784608  0.99215392
1.45000000e-05  1.40729012  0.00700667  0.99299333
1.47500000e-05  1.40744201  0.00624735  0.99375265
1.50000000e-05  1.40757920  0.00556165  0.99443835
1.52500000e-05  1.40770290  0.00494349  0.99505651
1.55000000e-05  1.40781425  0.00438716  0.99561284
1.57500000e-05  1.40791430  0.00388733  0.99611267
1.60000000e-05  1.40800405  0.00343904  0.99656096
1.62500000e-05  1.40808442  0.00303766  0.99696234
1.65000000e-05  1.40815626  0.00267889  0.99732111
1.67500000e-05  1.40822037  0.00235875  0.99764125
1.70000000e-05  1.40827749  0.00207359  0.99792641
1.72500000e-05  1.40832828  0.00182000  0.99818000
1.75000000e-05  1.40837337  0.00159489  0.99840511
1.77500000e-05  1.40841334  0.00139540  0.99860460
1.80000000e-05  1.40844870  0.00121891  0.99878109
1.82500000e-05  1.40847992  0.00106304  0.99893696
1.85000000e-05  1.40850746  0.00092562  0.99907438
1.87500000e-05  1.40853169  0.00080467  0.99919533
1.90000000e-05  1.40855298  0.00069840  0.99930160
1.92500000e-05  1.40857166  0.00060519  0.99939481
1.95000000e-05  1.40858801  0.00052358  0.99947642
1.97500000e-05  1.40860231  0.00045224  0.99954776
2.00000000e-05  1.40861478  0.00038999  0.99961001
