pos.x pos.y vol rho vel.x vel.y p a shock-detector massf-air e T
 2.07852 1.02005 0.00162642 1 694.502 1.68466e-09 86131 347.251 0 1 215327 300
 2.11072 0.998205 0.00162345 1 694.502 -5.09107e-08 86131 347.251 0 1 215327 300
 2.14554 1.01051 0.00228942 1 694.502 -2.49488e-08 86131 347.251 0 1 215327 300
 2.17241 0.987761 0.00166056 1 694.502 2.82925e-07 86131 347.251 0 1 215327 300
 2.20568 0.992068 0.00137036 1 694.502 9.08495e-07 86131 347.251 0 1 215327 300
 2.22632 1.01598 0.00188234 1 694.502 8.47534e-07 86131 347.251 0 1 215327 300
 2.26421 1.00141 0.00173891 1 694.502 2.03592e-06 86131 347.251 0 1 215327 300
 2.29428 1.02149 0.00209079 1 694.502 7.06484e-07 86131 347.251 0 1 215327 300
 2.32619 1.00693 0.00137383 1 694.502 -5.73962e-06 86131 347.251 0 1 215327 300
 2.35317 1.02001 0.000996712 1 694.502 -9.99915e-06 86131 347.251 0 1 215327 300
 2.37994 0.997542 0.00106014 1 694.502 -0.000111353 86130.9 347.251 0 1 215327 300
 2.40752 1.01249 0.0015268 1 694.502 -9.98625e-05 86130.9 347.251 0 1 215327 300
 2.44056 1.00103 0.00214697 1 694.502 0.000400218 86131.2 347.251 0 1 215328 300
 2.47365 1.02439 0.00202464 1 694.502 0.00043138 86131.2 347.251 0 1 215328 300
 2.5098 1.01002 0.00168182 1 694.502 0.00071708 86131.3 347.251 0 1 215328 300
 2.54159 1.029 0.00161352 1 694.502 0.000643047 86131.2 347.251 0 1 215328 300
 2.5744 1.0131 0.00150941 1 694.502 0.00055558 86131.2 347.251 0 1 215328 300
 2.60652 1.02916 0.00153134 1 694.502 0.00020715 86131.1 347.251 0 1 215327 300
 2.63484 1.01279 0.00131089 0.999992 694.504 -0.00225906 86130.1 347.251 0 1 215327 299.999
 2.669 1.0244 0.00158114 0.999988 694.504 -0.00365229 86129.5 347.25 0 1 215326 299.999
 2.69136 0.993624 0.00189255 0.999941 694.513 -0.0172283 86123.9 347.247 0 1 215322 299.993
 2.72623 0.990699 0.00227085 0.99997 694.508 -0.00872327 86127.3 347.249 0 1 215325 299.996
 2.74878 1.02257 0.00193048 0.999957 694.51 -0.0132263 86125.8 347.248 0 1 215324 299.995
 2.78141 1.01648 0.00116457 0.999983 694.505 -0.0054579 86128.9 347.25 0 1 215326 299.998
 2.79928 0.98774 0.00137072 1.00007 694.491 0.0214001 86139.4 347.256 0 1 215334 300.008
 2.8227 0.995834 0.000702369 1.0001 694.487 0.0308506 86143.1 347.258 0 1 215336 300.012
 2.84366 0.993661 0.000863806 1.00018 694.473 0.0546157 86152.5 347.264 0 1 215343 300.021
 2.86067 0.976002 0.00140067 1.00064 694.389 0.186623 86208 347.295 0 1 215382 300.077
 2.89487 0.985106 0.00134504 1.00068 694.38 0.2043 86213.5 347.299 0 1 215386 300.082
 2.90081 1.01691 0.00170942 1.00051 694.411 0.150289 86193 347.287 0 1 215372 300.062
 2.93274 1.02995 0.00188212 1.00048 694.417 0.142043 86188.4 347.284 0 1 215368 300.057
 2.96227 1.0091 0.00174295 1.00057 694.404 0.167753 86199.3 347.29 0 1 215376 300.068
 2.994 1.02639 0.00159559 1.00041 694.431 0.126429 86180.5 347.279 0 1 215362 300.048
 3.02341 1.00471 0.00169643 0.999362 694.583 -0.18542 86051 347.201 0 1 215265 299.913
 3.04983 1.01951 0.00129851 0.999073 694.623 -0.271927 86015.4 347.179 0 1 215238 299.876
 3.07655 1.007 0.00120324 0.995758 695.357 -1.11371 85618.6 346.953 0 1 214958 299.486
 3.13421 1.00577 0.00112854 0.991075 696.381 -2.59164 85084.4 346.686 0 1 214627 299.024
 3.16424 1.00432 0.0012119 0.994327 695.932 -1.87057 85487.2 346.936 0 1 214937 299.456
 3.2314 0.999222 0.0017648 1.04432 686.164 13.1319 91581.9 350.39 0 1 219238 305.448
 3.26136 1.00314 0.00117949 1.0735 680.825 21.0817 95195.6 352.348 0 1 221694 308.87
 3.28009 0.98493 0.0010196 1.23263 649.499 60.1513 115895 362.81 0 1 235056 327.486
 3.30748 1.00567 0.000982459 1.23581 650.233 61.4983 116163 362.761 0 1 234993 327.398
 3.33004 0.987872 0.0015234 1.37877 623.201 91.9609 135515 370.947 0 1 245717 342.34
