# Mohammadian pressure data for convex wedge.
# PJ, 15-Aug-2013
# x(inch)       p/p_inf
0.274466379557  26.3549577956
0.346575568902  26.6659320073
0.357506589717  26.2546056923
0.617629337082  25.4907672866
0.637713976954  25.9545091794
0.668089773008  26.4700267854
0.947657295612  26.6330323007
1.23865351152  26.0245210347
1.24695397774  27.5170586134
1.51679911272  27.2166421681
1.62063492346  27.0654741486
1.79629553925  27.4311034643
1.83952195002  26.1459886708
2.11951604905  26.0002595007
2.1498918451  26.5157771067
2.16146273055  25.6413487636
2.44088806101  25.9072658406
2.52343059868  26.1671042037
2.75168453252  25.9683195911
2.73918939815  27.511673086
3.04118773095  26.4403797241
3.04182759558  25.9772776959
3.32054196534  26.7577525821
3.35098885747  27.2218144073
3.35369050814  25.2664947327
3.6569685702  23.2689973143
3.65760843484  22.8058952862
3.95073753286  20.6537105928
3.97274176663  19.728146401
4.27694407761  17.0617238309
4.54863771042  15.423457082
4.56312353475  12.4393417215
4.63530382017  12.6988601523
4.81523020019  9.97714261338
4.86576173218  10.9049463314
4.91892381878  9.92888615564
5.16045494375  7.62073445795
5.46266656476  6.39507375329
5.7760224948  4.60371939092
6.07858959616  3.1207797817
6.40067256883  2.51322831259
6.66008435549  2.26394771595
6.9510805714  1.65543644989
7.26237471539  1.35629973392
7.54251100656  1.10765900192
7.55237558632  1.46816940061
7.85316528592  1.27162431415
8.17446620182  1.23008643505
8.45417591656  1.2901803885
8.76518567627  1.19686679618
9.05525764327  1.25728068195
