# Mohammadian figure 13 heat-flux data for convex ramp.
# PJ, 15-Aug-2013
# x(inch)       q_dot(BTU/(ft^2.s)
0.973820095612  6.37122834891
0.933461478445  6.0429404338
1.01637751266  6.06362333849
1.01666122877  5.98157263842
0.99740399756  5.55076390564
1.23698452329  5.26407586569
1.23730370391  5.17176882811
1.22760415928  4.97687713674
1.2607457478  4.39232973487
1.47805455861  4.54662165038
1.46824862043  4.38249897153
1.48931454187  4.29023449137
1.74825869235  4.40358617168
1.74896798264  4.1984594215
1.72871774502  4.05482813896
1.99860269814  4.00409969784
1.97821060247  3.90149376534
1.96812094818  3.81942178656
1.98957697927  3.6143375938
1.98982523087  3.54254323124
2.24827287816  3.79948363667
2.21747194757  3.70711276297
2.22809356957  3.63533967912
2.23931808832  3.38920885762
2.48806619097  3.45125757167
2.49907792263  3.26666477523
2.93585887961  2.94961201821
2.99746074078  3.13435376562
3.00875618856  2.8677102691
3.03955711915  2.96008114281
3.45537854822  2.70452385343
3.48671144653  2.64304966451
3.53840097598  2.69443774559
4.19277445988  2.44962620402
4.23394876087  2.54201835643
4.24520874413  2.28563119742
4.28609932901  2.46007404991
4.47438043494  2.00917821628
4.50525229455  2.08103641496
4.55736739818  2.00934844594
4.71392549615  1.73274651384
4.78636176642  1.78417715234
4.79701885294  1.70214773098
4.95350602187  1.44605847389
4.9947512519  1.51793795129
4.99446753578  1.59998865136
5.02626147277  1.40518207482
5.27554154313  1.31338572624
5.2557523442  1.03642205609
5.50474869845  1.02667640759
5.49472997319  0.924091753791
5.98330685316  0.62765806534
5.98298767253  0.719965102918
6.0137176741  0.832848651639
6.5021172315  0.587696650731
6.54389442923  0.505731065496
7.01087342006  0.455406919836
7.02089214532  0.557991573631
7.50886612855  0.435915622828
7.96540081994  0.406082873477
8.00668151448  0.467706013363
8.0484232477  0.395996765636
8.50488701006  0.386676691303
8.99232902558  0.418445803129
9.06511994099  0.367313066546
