# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:tke 17:omega 18:massf[0]-air 19:u 20:Ttr
8.513949905379132599e-02 1.112266367224171715e-01 0.000000000000000000e+00 4.103098542456168482e-06 1.770922800132851138e-01 7.129225471747399752e+02 2.994203774063439530e-02 0.000000000000000000e+00 3.165847058003517759e+03 1.582009795652101900e+02 4.142562248530129341e-06 4.783843470989552343e-03 2.003771654367354874e-06 2.262373832284698006e-03 0.000000000000000000e+00 2.006275300782765392e+00 1.773135509605265688e+05 1.000000000000000000e+00 4.469205345605724142e+04 6.226617650769160406e+01
8.513948253042556702e-02 1.127421908327645717e-01 0.000000000000000000e+00 4.048451664323637173e-06 1.770914062443268711e-01 7.129228420668580384e+02 2.913905266635988256e-02 0.000000000000000000e+00 3.165865664208621638e+03 1.582018347336107524e+02 4.142613332943515531e-06 4.783908483197185299e-03 1.954351706731640188e-06 2.206575859456690828e-03 0.000000000000000000e+00 1.796094611661276375e+00 1.627511155906183994e+05 1.000000000000000000e+00 4.469253663050124305e+04 6.226684967938294335e+01
8.513946464837274242e-02 1.142367295234153202e-01 0.000000000000000000e+00 3.990065659121396944e-06 1.770894781388558659e-01 7.129231406436866791e+02 2.830620042166140729e-02 0.000000000000000000e+00 3.165874295929759683e+03 1.582029116314472503e+02 4.142677662950355533e-06 4.783990352484990098e-03 1.917201640037758673e-06 2.164631290287503430e-03 0.000000000000000000e+00 1.624806533465927849e+00 1.500813138686564344e+05 9.999999999999998890e-01 4.469314508690626826e+04 6.226769739728764108e+01
8.513944544332047171e-02 1.157089141115722475e-01 0.000000000000000000e+00 3.928218732489749062e-06 1.770890660995404486e-01 7.129231064427527826e+02 2.811753424215567357e-02 0.000000000000000000e+00 3.165894509063245096e+03 1.582036007177036652e+02 4.142718826688656901e-06 4.784042739428041868e-03 1.879917591186129307e-06 2.122535447530319273e-03 0.000000000000000000e+00 1.472533248174571430e+00 1.387132813387521310e+05 1.000000000000000000e+00 4.469353442865467514e+04 6.226823983873200063e+01
8.513942495322594783e-02 1.171575107802475119e-01 0.000000000000000000e+00 3.863196690161791109e-06 1.770893657780407970e-01 7.129228784608141041e+02 2.783356614828957562e-02 0.000000000000000000e+00 3.165904721836514454e+03 1.582037220299942533e+02 4.142726073500733884e-06 4.784051962075975412e-03 1.830026745570232725e-06 2.066205803707906428e-03 0.000000000000000000e+00 1.335020615750021955e+00 1.291882507815974677e+05 1.000000000000000000e+00 4.469360297168517718e+04 6.226833533473421056e+01
8.513940321814904288e-02 1.185813928986912680e-01 0.000000000000000000e+00 3.795290218045301641e-06 1.770902152647119698e-01 7.129225544582152452e+02 2.772014293697185050e-02 0.000000000000000000e+00 3.165918588651089067e+03 1.582036890533888993e+02 4.142724103582275047e-06 4.784049455061035148e-03 1.773298253256328203e-06 2.002156062173628820e-03 0.000000000000000000e+00 1.225636522182523835e+00 1.223980428283525107e+05 9.999999999999998890e-01 4.469358433946673176e+04 6.226830937582401049e+01
8.513938028008796732e-02 1.199795423503516867e-01 0.000000000000000000e+00 3.724792264284274631e-06 1.770912057985924160e-01 7.129224301599367664e+02 2.792424377391947155e-02 0.000000000000000000e+00 3.165932915405428048e+03 1.582036045668621114e+02 4.142719056625116924e-06 4.784043032056404382e-03 1.727806683360703048e-06 1.950793454514669970e-03 0.000000000000000000e+00 1.154015924816583993e+00 1.182806349835105939e+05 1.000000000000000000e+00 4.469353660347871482e+04 6.226824286875562109e+01
8.513935618280261963e-02 1.213510499127658654e-01 0.000000000000000000e+00 3.651995558169136510e-06 1.770917966150612477e-01 7.129224546634608259e+02 2.803455527633266428e-02 0.000000000000000000e+00 3.165941481453709002e+03 1.582035546907856371e+02 4.142716077187602483e-06 4.784039240278992362e-03 1.699157946179183563e-06 1.918447376963266148e-03 0.000000000000000000e+00 1.113727809716434924e+00 1.160763537055937777e+05 1.000000000000000000e+00 4.469350842285787803e+04 6.226820360675319677e+01
8.513933097162923458e-02 1.226951147457052554e-01 0.000000000000000000e+00 3.577190295137737169e-06 1.770918903580305792e-01 7.129226383098305178e+02 2.800712572851285498e-02 0.000000000000000000e+00 3.165942528697996295e+03 1.582035389841631741e+02 4.142715138924311806e-06 4.784038046199477409e-03 1.683777693756758243e-06 1.901082184408222102e-03 0.000000000000000000e+00 1.093533501330257174e+00 1.150127571112641454e+05 1.000000000000000000e+00 4.469349954841722501e+04 6.226819124264267913e+01
8.513930469329286654e-02 1.240110430536955494e-01 0.000000000000000000e+00 3.500662011223763814e-06 1.770917821560126226e-01 7.129230369343654274e+02 2.791499709782205643e-02 0.000000000000000000e+00 3.165940519782197498e+03 1.582035371216372823e+02 4.142715027662987657e-06 4.784037904602907003e-03 1.676485014141353511e-06 1.892848328273383880e-03 0.000000000000000000e+00 1.084364813494390400e+00 1.145444759169716126e+05 9.999999999999998890e-01 4.469349849606654607e+04 6.226818977647928222e+01
8.513927739571888753e-02 1.252982459965919781e-01 0.000000000000000000e+00 3.422689664403177575e-06 1.770914732353267851e-01 7.129232820600537934e+02 2.769650921917896774e-02 0.000000000000000000e+00 3.165934732439549407e+03 1.582035305094289015e+02 4.142714632670877077e-06 4.784037401916743475e-03 1.673358149177065520e-06 1.889317917282253793e-03 0.000000000000000000e+00 1.080551259520754037e+00 1.143547270802356361e+05 1.000000000000000000e+00 4.469349476008536294e+04 6.226818457140934271e+01
8.513924912783264742e-02 1.265562369273089682e-01 0.000000000000000000e+00 3.343543934508394857e-06 1.770912712921179077e-01 7.129233716583268006e+02 2.755105817497032969e-02 0.000000000000000000e+00 3.165929969264041574e+03 1.582035017024549006e+02 4.142712911834860331e-06 4.784035211897248729e-03 1.672135241808441158e-06 1.887937184291020500e-03 0.000000000000000000e+00 1.079093574546990064e+00 1.142838498824193375e+05 1.000000000000000000e+00 4.469347848378331400e+04 6.226816189482552488e+01
8.513921993937163812e-02 1.277846280391889411e-01 0.000000000000000000e+00 3.263485747946022551e-06 1.770912421261410241e-01 7.129233747388409483e+02 2.752590533428501962e-02 0.000000000000000000e+00 3.165928839733021050e+03 1.582034865083972761e+02 4.142712004190815433e-06 4.784034056785408349e-03 1.671693375014573648e-06 1.887438291181307761e-03 0.000000000000000000e+00 1.078577106799073038e+00 1.142593267571944598e+05 1.000000000000000000e+00 4.469346989895115257e+04 6.226814993420538258e+01
8.513918988068426563e-02 1.289831265067434285e-01 0.000000000000000000e+00 3.182765028429824356e-06 1.770912978785194047e-01 7.129233611955307879e+02 2.749809490256605038e-02 0.000000000000000000e+00 3.165929282693096411e+03 1.582034726728597889e+02 4.142711177700453417e-06 4.784033004953715425e-03 1.671549744915355082e-06 1.887276124510623180e-03 0.000000000000000000e+00 1.078413351872703485e+00 1.142518316981081007e+05 1.000000000000000000e+00 4.469346208170053433e+04 6.226813904300059477e+01
8.513915900254198643e-02 1.301515302033309784e-01 0.000000000000000000e+00 3.101619670483023579e-06 1.770913627779257815e-01 7.129233016569660322e+02 2.745840380322479499e-02 0.000000000000000000e+00 3.165929367060467484e+03 1.582034457920605064e+02 4.142709571928427144e-06 4.784030961370499581e-03 1.671508121504986144e-06 1.887229129278295350e-03 0.000000000000000000e+00 1.078368765716575695e+00 1.142499948645033583e+05 1.000000000000000000e+00 4.469344689371684217e+04 6.226811788269131398e+01
8.513912735594440784e-02 1.312897230771448709e-01 0.000000000000000000e+00 3.020274728591135324e-06 1.770917360679586938e-01 7.129231493509205393e+02 2.691322807513999923e-02 0.000000000000000000e+00 3.165939925210516776e+03 1.582035428523238352e+02 4.142715369995824777e-06 4.784038340272325079e-03 1.671508151190500495e-06 1.887229162794953983e-03 0.000000000000000000e+00 1.078367053414895693e+00 1.142500522506564303e+05 1.000000000000000000e+00 4.469350173397691105e+04 6.226819428762349418e+01
8.513909499194051433e-02 1.323976702639368119e-01 0.000000000000000000e+00 2.938941811661002578e-06 1.770948921375049556e-01 7.129224475853893637e+02 2.359195000006271761e-02 0.000000000000000000e+00 3.166022480849419480e+03 1.582041957866086364e+02 4.142754374267335715e-06 4.784087979040753218e-03 1.671550943224635297e-06 1.887277477470953105e-03 0.000000000000000000e+00 1.078386978289253451e+00 1.142512744671404362e+05 1.000000000000000000e+00 4.469387065087072551e+04 6.226870827260852792e+01
8.513906196144291338e-02 1.334754130102698833e-01 0.000000000000000000e+00 2.857818669867926543e-06 1.771076091654523732e-01 7.129194632501373690e+02 1.080187861722891295e-02 0.000000000000000000e+00 3.166357062641879111e+03 1.582068747428717188e+02 4.142914408294473049e-06 4.784291647010084809e-03 1.671728840736145140e-06 1.887478334027632753e-03 0.000000000000000000e+00 1.078466447491425173e+00 1.142557389854468784e+05 1.000000000000000000e+00 4.469538431411911733e+04 6.227081714914717736e+01
8.513902831505827662e-02 1.345230634761904742e-01 0.000000000000000000e+00 2.777088959004348168e-06 1.771550238185693738e-01 7.129087193046257198e+02 -3.512519322818089679e-02 0.000000000000000000e+00 3.167593597397868962e+03 1.582165862378445809e+02 4.143494568216287323e-06 4.785029999884869885e-03 1.672368926662781054e-06 1.888201027977154606e-03 0.000000000000000000e+00 1.078723508822756916e+00 1.142698156187755230e+05 1.000000000000000000e+00 4.470087171563805896e+04 6.227846234521951629e+01
