#  x                   y                    
 -4.659074579678e-02   0.000000000000e+00 
 -4.658687572568e-02   2.842424550407e-03 
 -4.657492213300e-02   5.685356021089e-03 
 -4.655554296085e-02   8.529383162497e-03 
 -4.652799848810e-02   1.137507191947e-02 
 -4.649294103960e-02   1.422301913121e-02 
 -4.644972864576e-02   1.707378092182e-02 
 -4.639888082539e-02   1.992795627635e-02 
 -4.633986644633e-02   2.278609389612e-02 
 -4.627306694373e-02   2.564878932221e-02 
 -4.619806169340e-02   2.851658602454e-02 
 -4.611509887256e-02   3.139007098828e-02 
 -4.602385327731e-02   3.426978340594e-02 
 -4.592446238209e-02   3.715629837594e-02 
 -4.581667001236e-02   4.005015004238e-02 
 -4.570053137278e-02   4.295189996276e-02 
 -4.557584350865e-02   4.586207666535e-02 
 -4.544258641487e-02   4.878122528424e-02 
 -4.530058998335e-02   5.170986657491e-02 
 -4.514978991686e-02   5.464853005019e-02 
 -4.499003419099e-02   5.759772676391e-02 
 -4.482121801932e-02   6.055796875120e-02 
 -4.464319183942e-02   6.352975428618e-02 
 -4.445583323498e-02   6.651357961119e-02 
 -4.425899023713e-02   6.950992871913e-02 
 -4.405251848474e-02   7.251927979608e-02 
 -4.383625373522e-02   7.554209947409e-02 
 -4.361003964296e-02   7.857884828779e-02 
 -4.337370904512e-02   8.162997653977e-02 
 -4.312709210823e-02   8.469592582698e-02 
 -4.287000273539e-02   8.777712534451e-02 
 -4.260225521798e-02   9.087399562386e-02 
 -4.232366702773e-02   9.398694939163e-02 
 -4.203403600686e-02   9.711638502852e-02 
 -4.173316070136e-02   1.002626918033e-01 
 -4.142083421364e-02   1.034262480097e-01 
 -4.109684793658e-02   1.066074219711e-01 
 -4.076098285267e-02   1.098065690310e-01 
 -4.041301751181e-02   1.130240338681e-01 
 -4.005272650368e-02   1.162601498855e-01 
 -3.967987893240e-02   1.195152384907e-01 
 -3.929423541825e-02   1.227896076745e-01 
 -3.889555890647e-02   1.260835560095e-01 
 -3.848360145175e-02   1.293973673378e-01 
 -3.805811192980e-02   1.327313135405e-01 
 -3.761883222921e-02   1.360856527274e-01 
 -3.716550194553e-02   1.394606310718e-01 
 -3.669786126987e-02   1.428564841839e-01 
 -3.621563916730e-02   1.462734314163e-01 
 -3.571855757871e-02   1.497116773131e-01 
 -3.520632733389e-02   1.531714090201e-01 
 -3.467867990441e-02   1.566528129047e-01 
 -3.413531770595e-02   1.601560483418e-01 
 -3.357595152170e-02   1.636812671851e-01 
 -3.300028851667e-02   1.672286074163e-01 
 -3.240802230561e-02   1.707981868088e-01 
 -3.179884929936e-02   1.743901122146e-01 
 -3.117245815115e-02   1.780044729795e-01 
 -3.052853436564e-02   1.816413433943e-01 
 -2.986675793809e-02   1.853007807911e-01 
 -2.918680476999e-02   1.889828260333e-01 
 -2.848834916550e-02   1.926875049361e-01 
 -2.777106877626e-02   1.964148318337e-01 
 -2.703463173159e-02   2.001647998440e-01 
 -2.627870482406e-02   2.039373863420e-01 
 -2.550294774113e-02   2.077325479205e-01 
 -2.470701525553e-02   2.115502212727e-01 
 -2.389055764528e-02   2.153903227535e-01 
 -2.305322360665e-02   2.192527501764e-01 
 -2.219465634548e-02   2.231373786431e-01 
 -2.131449325951e-02   2.270440591163e-01 
 -2.041236619050e-02   2.309726173861e-01 
 -1.948789382314e-02   2.349228450041e-01 
 -1.854069466276e-02   2.388945101700e-01 
 -1.757037868386e-02   2.428873478573e-01 
 -1.657655349449e-02   2.469010642794e-01 
 -1.555881325804e-02   2.509353227429e-01 
 -1.451673309112e-02   2.549897335323e-01 
 -1.344987785592e-02   2.590638595716e-01 
 -1.235780982577e-02   2.631572220400e-01 
 -1.124010969895e-02   2.672693242164e-01 
 -1.009634982856e-02   2.713996171417e-01 
 -8.926083696653e-03   2.755474810063e-01 
 -7.728847584141e-03   2.797122204421e-01 
 -6.504162501954e-03   2.838930598119e-01 
 -5.251534328011e-03   2.880891354981e-01 
 -3.970452617564e-03   2.922994852869e-01 
 -2.660390003666e-03   2.965230372904e-01 
 -1.320802785716e-03   3.007585993738e-01 
  4.885134255296e-05   3.050048757756e-01 
  1.449155282985e-03   3.092603853707e-01 
  2.880803469476e-03   3.135233139566e-01 
  4.344472813768e-03   3.177917040430e-01 
  5.840878316700e-03   3.220633367457e-01 
  7.370657808640e-03   3.263359230282e-01 
  8.934587663307e-03   3.306066708931e-01 
  1.053343825273e-02   3.348725122353e-01 
  1.216796529555e-02   3.391300886962e-01 
  1.383908892382e-02   3.433753204338e-01 
  1.554773808284e-02   3.476036535742e-01 
  1.729481277525e-02   3.518100862969e-01 
  1.908113283565e-02   3.559892366968e-01 
  2.090758264438e-02   3.601349287969e-01 
  2.277489495841e-02   3.642406416156e-01 
  2.468357794903e-02   3.682996736536e-01 
  2.663413472991e-02   3.723045127556e-01 
  2.862585763118e-02   3.762502808424e-01 
  3.065775577720e-02   3.801324439426e-01 
  3.272900339801e-02   3.839454588534e-01 
  3.483835069860e-02   3.876845451696e-01 
  3.698410799241e-02   3.913459288883e-01 
  3.916375992754e-02   3.949284978909e-01 
  4.137487469554e-02   3.984309475108e-01 
  4.371104485309e-02   4.019991529424e-01 
  4.632610414786e-02   4.058411878726e-01 
  4.910667570254e-02   4.097539104060e-01 
  5.191990132974e-02   4.135576141100e-01 
  5.477249101140e-02   4.172720000419e-01 
  5.767074953160e-02   4.209105719029e-01 
  6.061422323544e-02   4.244767360804e-01 
  6.360164061134e-02   4.279764915946e-01 
  6.663185355399e-02   4.314148813466e-01 
