x	y
0.96344	-0.68753
0.84195	-0.66038
0.75265	-0.62083
0.67638	-0.56226
0.58752	-0.48432
0.52436	-0.40031
0.4676	-0.31639
0.42382	-0.21982
0.39933	-0.11711
0.38139	-0.00168
0.3762	0.10718
0.38369	0.20309
0.41688	0.30506
0.44986	0.38784
0.50877	0.49589
0.59317	0.59081
0.65798	0.65398
0.74843	0.71682
0.83247	0.77974
0.92241	0.79779
