x	y
2.62474	-2.3088
2.38269	-2.1713
2.08944	-2.02674
1.82205	-1.86332
1.57388	-1.70015
1.32578	-1.53057
1.10317	-1.37412
0.8872	-1.19856
0.72861	-1.04933
0.56391	-0.87442
0.43104	-0.71912
0.32416	-0.53215
0.24313	-0.32631
0.20662	-0.15304
0.19581	0.02629
0.19825	0.24386
0.22539	0.37791
0.265	0.47981
0.38972	0.74061
0.51358	0.92463
0.66941	1.10183
0.82496	1.25344
0.97381	1.37954
1.1421	1.52458
1.33603	1.6693
1.56208	1.82001
1.82018	1.9703
2.09765	2.13315
2.34926	2.27713
2.60066	2.40191
