#   x(m)    rho    f_N2    f_O2
8.50000000e-06  1.39655161  0.06110872  0.93889128
8.75000000e-06  1.39753677  0.05611071  0.94388929
9.00000000e-06  1.39845858  0.05144047  0.94855953
9.25000000e-06  1.39931947  0.04708440  0.95291560
9.50000000e-06  1.40012196  0.04302873  0.95697127
9.75000000e-06  1.40086857  0.03925959  0.96074041
1.00000000e-05  1.40156188  0.03576311  0.96423689
1.02500000e-05  1.40220448  0.03252548  0.96747452
1.05000000e-05  1.40279895  0.02953302  0.97046698
1.07500000e-05  1.40334784  0.02677221  0.97322779
1.10000000e-05  1.40385369  0.02422981  0.97577019
1.12500000e-05  1.40431899  0.02189282  0.97810718
1.15000000e-05  1.40474618  0.01974862  0.98025138
1.17500000e-05  1.40513763  0.01778492  0.98221508
1.20000000e-05  1.40549566  0.01598986  0.98401014
1.22500000e-05  1.40582250  0.01435199  0.98564801
1.25000000e-05  1.40612029  0.01286032  0.98713968
1.27500000e-05  1.40639111  0.01150431  0.98849569
1.30000000e-05  1.40663693  0.01027394  0.98972606
1.32500000e-05  1.40685963  0.00915962  0.99084038
1.35000000e-05  1.40706101  0.00815231  0.99184769
1.37500000e-05  1.40724277  0.00724343  0.99275657
1.40000000e-05  1.40740649  0.00642489  0.99357511
1.42500000e-05  1.40755370  0.00568909  0.99431091
1.45000000e-05  1.40768581  0.00502891  0.99497109
1.47500000e-05  1.40780413  0.00443769  0.99556231
1.50000000e-05  1.40790992  0.00390922  0.99609078
1.52500000e-05  1.40800431  0.00343772  0.99656228
1.55000000e-05  1.40808838  0.00301786  0.99698214
1.57500000e-05  1.40816311  0.00264467  0.99735533
1.60000000e-05  1.40822942  0.00231360  0.99768640
1.62500000e-05  1.40828813  0.00202044  0.99797956
1.65000000e-05  1.40834003  0.00176134  0.99823866
1.67500000e-05  1.40838582  0.00153278  0.99846722
1.70000000e-05  1.40842613  0.00133154  0.99866846
1.72500000e-05  1.40846156  0.00115469  0.99884531
1.75000000e-05  1.40849264  0.00099956  0.99900044
1.77500000e-05  1.40851985  0.00086375  0.99913625
1.80000000e-05  1.40854363  0.00074508  0.99925492
1.82500000e-05  1.40856437  0.00064157  0.99935843
1.85000000e-05  1.40858243  0.00055146  0.99944854
1.87500000e-05  1.40859811  0.00047317  0.99952683
1.90000000e-05  1.40861172  0.00040527  0.99959473
1.92500000e-05  1.40862350  0.00034650  0.99965350
1.95000000e-05  1.40863367  0.00029572  0.99970428
1.97500000e-05  1.40864245  0.00025194  0.99974806
2.00000000e-05  1.40865000  0.00021425  0.99978575
