x	H2	OH	H2O	H	O2	O	HO2	H2O2	N2	T	p
0	0.0285132550416081	0	0	0	0.226452129369912	0	0	0	0.74503461558848	1559.0	96866.7
0.0002	0.0285132486385037	0.000000182138395095273	0.0000000397640497790296	0.00000000219754142950413	0.226452078516489	0.000000000402731522405478	0.0000000000631594512707267	9.05616559349037E-015	0.745034448279121	1559.0	96866.7
0.03048	0.0281989823606566	0.000218931939302442	0.00219606432143947	0.0000965273980974415	0.222713872014415	0.000282903255153643	0.000103768243169507	0.000000754620664963878	0.746188195847101	1561.92	97043.0
0.09144	0.00617830183856943	0.0276605416430247	0.156760326991773	0.00315206217692573	0.0430263137318372	0.0181261188286857	0.0000552247139386776	0.00000560341912979397	0.745035506656115	2400.17	144318.2
