#   x(m)    rho    f_N2    f_O2
8.50000000e-06  1.39400638  0.07405408  0.92594592
8.75000000e-06  1.39507185  0.06862924  0.93137076
9.00000000e-06  1.39607758  0.06351613  0.93648387
9.25000000e-06  1.39702535  0.05870438  0.94129562
9.50000000e-06  1.39791705  0.05418331  0.94581669
9.75000000e-06  1.39875460  0.04994200  0.95005800
1.00000000e-05  1.39954000  0.04596942  0.95403058
1.02500000e-05  1.40027528  0.04225437  0.95774563
1.05000000e-05  1.40096251  0.03878565  0.96121435
1.07500000e-05  1.40160376  0.03555203  0.96444797
1.10000000e-05  1.40220113  0.03254236  0.96745764
1.12500000e-05  1.40275671  0.02974557  0.97025443
1.15000000e-05  1.40327256  0.02715072  0.97284928
1.17500000e-05  1.40375074  0.02474707  0.97525293
1.20000000e-05  1.40419327  0.02252409  0.97747591
1.22500000e-05  1.40460213  0.02047147  0.97952853
1.25000000e-05  1.40497927  0.01857920  0.98142080
1.27500000e-05  1.40532656  0.01683755  0.98316245
1.30000000e-05  1.40564585  0.01523710  0.98476290
1.32500000e-05  1.40593891  0.01376876  0.98623124
1.35000000e-05  1.40620746  0.01242381  0.98757619
1.37500000e-05  1.40645312  0.01119387  0.98880613
1.40000000e-05  1.40667750  0.01007091  0.98992909
1.42500000e-05  1.40688209  0.00904729  0.99095271
1.45000000e-05  1.40706833  0.00811573  0.99188427
1.47500000e-05  1.40723758  0.00726934  0.99273066
1.50000000e-05  1.40739115  0.00650156  0.99349844
1.52500000e-05  1.40753026  0.00580624  0.99419376
1.55000000e-05  1.40765606  0.00517755  0.99482245
1.57500000e-05  1.40776964  0.00461005  0.99538995
1.60000000e-05  1.40787201  0.00409860  0.99590140
1.62500000e-05  1.40796413  0.00363843  0.99636157
1.65000000e-05  1.40804689  0.00322507  0.99677493
1.67500000e-05  1.40812112  0.00285436  0.99714564
1.70000000e-05  1.40818759  0.00252246  0.99747754
1.72500000e-05  1.40824701  0.00222577  0.99777423
1.75000000e-05  1.40830004  0.00196100  0.99803900
1.77500000e-05  1.40834729  0.00172511  0.99827489
1.80000000e-05  1.40838932  0.00151529  0.99848471
1.82500000e-05  1.40842665  0.00132895  0.99867105
1.85000000e-05  1.40845974  0.00116376  0.99883624
1.87500000e-05  1.40848904  0.00101754  0.99898246
1.90000000e-05  1.40851493  0.00088833  0.99911167
1.92500000e-05  1.40853777  0.00077434  0.99922566
1.95000000e-05  1.40855788  0.00067394  0.99932606
1.97500000e-05  1.40857557  0.00058565  0.99941435
2.00000000e-05  1.40859110  0.00050815  0.99949185
