# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:k_modes[0] 14:mu_t 15:k_t 16:S 17:tke 18:omega 19:massf[0]-N2 20:u 21:T 22:u_modes[0] 23:T_modes[0] 24:dt_therm
-1.566227332482826418e+00 1.323430583993943400e-02 0.000000000000000000e+00 3.798024784160969336e-04 5.615359130293177828e-04 2.294952009302156057e+03 -5.264930610779295839e-14 0.000000000000000000e+00 4.999999999999984368e+01 3.530695398926387156e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999995559e-01 2.226037499999993597e+05 2.999999999999990905e+02 1.388762631378042478e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.551891967228056002e+00 1.306488523035336316e-02 0.000000000000000000e+00 3.749381427538972522e-04 5.615359130293177828e-04 2.294952009302156512e+03 -6.431562676725054916e-14 0.000000000000000000e+00 4.999999999999953104e+01 3.530695398926376356e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999990008e-01 2.226037499999979627e+05 2.999999999999972147e+02 1.388762631378042478e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.537556607137467113e+00 1.289546468179929295e-02 0.000000000000000000e+00 3.700738070916906319e-04 5.615359130293177828e-04 2.294952009302158331e+03 -1.572281364331512142e-13 0.000000000000000000e+00 4.999999999999953104e+01 3.530695398926376356e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999997780e-01 2.226037499999979627e+05 2.999999999999972147e+02 1.388762631378042300e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.523221252417342075e+00 1.272604419671533732e-02 0.000000000000000000e+00 3.652094714294840117e-04 5.615359130293182165e-04 2.294952009302157421e+03 -1.622064370998627744e-13 0.000000000000000000e+00 4.999999999999977973e+01 3.530695398926383746e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999995559e-01 2.226037499999988941e+05 2.999999999999984652e+02 1.388762631378042123e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.508885903285230645e+00 1.255662377767252473e-02 0.000000000000000000e+00 3.603451357672843303e-04 5.615359130293184333e-04 2.294952009302156966e+03 -2.390558081021245854e-13 0.000000000000000000e+00 4.999999999999990052e+01 3.530695398926387156e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999995559e-01 2.226037499999993597e+05 2.999999999999990905e+02 1.388762631378042123e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.494550559970464487e+00 1.238720342738134847e-02 0.000000000000000000e+00 3.554808001050638322e-04 5.615359130293185418e-04 2.294952009302157876e+03 -2.922188761269464920e-13 0.000000000000000000e+00 4.999999999999960920e+01 3.530695398926376356e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999994449e-01 2.226037499999979627e+05 2.999999999999972147e+02 1.388762631378041945e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.480215222715147050e+00 1.221778314870285154e-02 0.000000000000000000e+00 3.506164644428641508e-04 5.615359130293188670e-04 2.294952009302156057e+03 -2.961208513308495348e-13 0.000000000000000000e+00 5.000000000000016342e+01 3.530695398926395114e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999993339e-01 2.226037500000002910e+05 3.000000000000003979e+02 1.388762631378041945e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.465879891775094146e+00 1.204836294466092063e-02 0.000000000000000000e+00 3.457521287806575305e-04 5.615359130293190839e-04 2.294952009302156512e+03 -2.793037946129198741e-13 0.000000000000000000e+00 5.000000000000017764e+01 3.530695398926395114e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999993339e-01 2.226037500000002910e+05 3.000000000000003979e+02 1.388762631378041768e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.451544567420623988e+00 1.187894281844920075e-02 0.000000000000000000e+00 3.408877931184509102e-04 5.615359138251890727e-04 2.294952007738575048e+03 -6.403613000996417817e-08 0.000000000000000000e+00 5.000000043293974983e+01 3.530695411710128724e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999994449e-01 2.226037516119813663e+05 3.000000021724450221e+02 1.388762631378041590e+01 3.000000000000000000e+02 -1.000000000000000000e+00
-1.437209249937807742e+00 1.170952277344942602e-02 0.000000000000000000e+00 3.360234574562442900e-04 6.559933941925923107e-04 2.089468659007191491e+03 6.881510472717198290e+00 0.000000000000000000e+00 1.303258028066898930e+02 5.273870836979245951e+02 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999984457e-01 4.966734572346459026e+05 6.693599598856433204e+02 1.388764937625546736e+01 3.000000445605957111e+02 -1.000000000000000000e+00
