# eta f fd fdd g gd y p T rho u
0.561122 0.070817 0.261695 0.508094 1.905896 1.350392 0.000259 3531.500000 648.385977 0.018971 564.789565
0.571142 0.073464 0.266790 0.508903 1.919314 1.327800 0.000265 3531.500000 652.950776 0.018838 575.786058
0.581162 0.076163 0.271893 0.509669 1.932505 1.304987 0.000271 3531.500000 657.438184 0.018710 586.799574
0.591182 0.078913 0.277004 0.510390 1.945466 1.281958 0.000278 3531.500000 661.847456 0.018585 597.829167
0.601202 0.081714 0.282121 0.511067 1.958195 1.258722 0.000284 3531.500000 666.177872 0.018464 608.873882
0.611222 0.084567 0.287245 0.511699 1.970690 1.235285 0.000290 3531.500000 670.428736 0.018347 619.932755
0.621242 0.087471 0.292376 0.512286 1.982949 1.211656 0.000297 3531.500000 674.599378 0.018234 631.004811
0.631263 0.090426 0.297511 0.512828 1.994971 1.187840 0.000303 3531.500000 678.689151 0.018124 642.089068
0.641283 0.093433 0.302652 0.513323 2.006753 1.163847 0.000310 3531.500000 682.697438 0.018018 653.184533
0.651303 0.096491 0.307798 0.513772 2.018294 1.139684 0.000316 3531.500000 686.623644 0.017915 664.290208
0.661323 0.099601 0.312948 0.514174 2.029592 1.115359 0.000323 3531.500000 690.467205 0.017815 675.405082
0.671343 0.102763 0.318102 0.514529 2.040645 1.090880 0.000329 3531.500000 694.227581 0.017718 686.528140
0.681363 0.105976 0.323259 0.514836 2.051453 1.066255 0.000336 3531.500000 697.904261 0.017625 697.658358
0.691383 0.109241 0.328419 0.515095 2.062013 1.041493 0.000343 3531.500000 701.496764 0.017535 708.794703
0.701403 0.112558 0.333582 0.515306 2.072324 1.016601 0.000349 3531.500000 705.004633 0.017448 719.936137
0.711423 0.115926 0.338746 0.515469 2.082385 0.991589 0.000356 3531.500000 708.427444 0.017363 731.081615
0.721443 0.119346 0.343912 0.515583 2.092195 0.966465 0.000363 3531.500000 711.764799 0.017282 742.230085
0.731463 0.122818 0.349078 0.515648 2.101753 0.941237 0.000369 3531.500000 715.016333 0.017203 753.380488
0.741483 0.126342 0.354245 0.515664 2.111057 0.915915 0.000376 3531.500000 718.181706 0.017127 764.531762
0.751503 0.129917 0.359412 0.515630 2.120108 0.890507 0.000383 3531.500000 721.260611 0.017054 775.682837
0.761523 0.133544 0.364578 0.515546 2.128903 0.865022 0.000390 3531.500000 724.252772 0.016984 786.832639
0.771543 0.137223 0.369743 0.515412 2.137443 0.839470 0.000397 3531.500000 727.157941 0.016916 797.980089
0.781563 0.140954 0.374907 0.515228 2.145726 0.813858 0.000404 3531.500000 729.975902 0.016851 809.124104
0.791583 0.144736 0.380068 0.514994 2.153752 0.788196 0.000411 3531.500000 732.706470 0.016788 820.263597
0.801603 0.148571 0.385227 0.514709 2.161521 0.762494 0.000418 3531.500000 735.349490 0.016728 831.397477
0.811623 0.152456 0.390383 0.514374 2.169032 0.736760 0.000425 3531.500000 737.904839 0.016670 842.524652
0.821643 0.156394 0.395535 0.513987 2.176286 0.711004 0.000432 3531.500000 740.372425 0.016614 853.644024
0.831663 0.160383 0.400683 0.513550 2.183281 0.685234 0.000439 3531.500000 742.752188 0.016561 864.754495
0.841683 0.164424 0.405827 0.513062 2.190018 0.659461 0.000446 3531.500000 745.044099 0.016510 875.854964
0.851703 0.168516 0.410965 0.512523 2.196497 0.633693 0.000453 3531.500000 747.248159 0.016461 886.944330
0.861723 0.172659 0.416097 0.511933 2.202717 0.607940 0.000460 3531.500000 749.364403 0.016415 898.021490
0.871743 0.176854 0.421224 0.511292 2.208680 0.582210 0.000467 3531.500000 751.392896 0.016370 909.085340
0.881764 0.181101 0.426344 0.510600 2.214385 0.556513 0.000474 3531.500000 753.333736 0.016328 920.134776
0.891784 0.185398 0.431456 0.509857 2.219833 0.530859 0.000482 3531.500000 755.187050 0.016288 931.168696
0.901804 0.189747 0.436561 0.509063 2.225024 0.505256 0.000489 3531.500000 756.952998 0.016250 942.185996
0.911824 0.194147 0.441658 0.508218 2.229958 0.479714 0.000496 3531.500000 758.631772 0.016214 953.185575
0.921844 0.198598 0.446746 0.507323 2.234637 0.454242 0.000503 3531.500000 760.223593 0.016180 964.166334
0.931864 0.203100 0.451824 0.506376 2.239061 0.428848 0.000510 3531.500000 761.728715 0.016148 975.127174
0.941884 0.207652 0.456893 0.505379 2.243232 0.403542 0.000518 3531.500000 763.147422 0.016118 986.067001
0.951904 0.212256 0.461952 0.504332 2.247149 0.378333 0.000525 3531.500000 764.480027 0.016090 996.984723
0.961924 0.216910 0.467000 0.503234 2.250814 0.353229 0.000532 3531.500000 765.726878 0.016064 1007.879251
0.971944 0.221615 0.472037 0.502087 2.254228 0.328240 0.000539 3531.500000 766.888347 0.016040 1018.749501
0.981964 0.226370 0.477062 0.500889 2.257392 0.303375 0.000547 3531.500000 767.964841 0.016017 1029.594392
0.991984 0.231175 0.482074 0.499642 2.260308 0.278641 0.000554 3531.500000 768.956794 0.015996 1040.412850
1.002004 0.236030 0.487074 0.498346 2.262977 0.254047 0.000561 3531.500000 769.864671 0.015978 1051.203805
1.012024 0.240936 0.492061 0.497000 2.265400 0.229602 0.000569 3531.500000 770.688963 0.015961 1061.966192
1.022044 0.245891 0.497034 0.495606 2.267578 0.205314 0.000576 3531.500000 771.430192 0.015945 1072.698954
1.032064 0.250896 0.501993 0.494163 2.269515 0.181192 0.000583 3531.500000 772.088908 0.015932 1083.401040
1.042084 0.255951 0.506937 0.492672 2.271210 0.157243 0.000591 3531.500000 772.665688 0.015920 1094.071407
1.052104 0.261055 0.511866 0.491134 2.272666 0.133475 0.000598 3531.500000 773.161136 0.015909 1104.709017
1.062124 0.266209 0.516779 0.489548 2.273886 0.109896 0.000605 3531.500000 773.575884 0.015901 1115.312844
1.072144 0.271412 0.521676 0.487915 2.274869 0.086514 0.000613 3531.500000 773.910590 0.015894 1125.881867
