# t = 1
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-3.8090599974967186e-02 5.9837496043834391e-04 0.0000000000000000e+00 9.9987663248166070e-01 -1.5707317311812335e-02 0.0000000000000000e+00 1.1968975791607351e-03 8.4613124821990198e-05 1 3.5852560310785462e+04 2.9691676422567131e-01 4.2057877680208856e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3703252027063654e-05 7.1261090762442484e+02 7.5529565190318442e+02 1.7747669321436981e+00 8.8843010707511838e-01 3.2093303174683174e+00 0.0000000000000000e+00 -3.9402646510321816e+05 -3.9402646510321816e+05 0.0000000000000000e+00
-3.8053009151525756e-02 1.7945343574717635e-03 0.0000000000000000e+00 9.9888987496196935e-01 -4.7106450709656703e-02 0.0000000000000000e+00 1.1968975791607360e-03 8.4853400359184345e-05 1 3.5775758670497911e+04 2.9647557786175582e-01 4.2030235713671306e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3692207798521753e-05 7.1296227225688233e+02 7.5704063388480961e+02 3.0732918654195314e+00 1.4633438681574291e+00 9.8262552586435152e+00 0.0000000000000000e+00 -3.9335670879389555e+05 -3.9335670879389555e+05 0.0000000000000000e+00
-3.7977864602247238e-02 2.9889227657511172e-03 0.0000000000000000e+00 9.9691733373312796e-01 -7.8459095727846359e-02 0.0000000000000000e+00 1.1968975791607356e-03 8.5332993988360508e-05 1 3.5643601027836543e+04 2.9579624900725332e-01 4.1971144200914966e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3668585262757645e-05 7.1327805360406080e+02 7.6066985888208069e+02 3.9702715706368532e+00 2.3220278407582895e+00 1.6233812093453583e+01 0.0000000000000000e+00 -3.9155308845799486e+05 -3.9155308845799486e+05 0.0000000000000000e+00
-3.7865240485729465e-02 4.1803614681176927e-03 0.0000000000000000e+00 9.9396095545518048e-01 -1.0973431109103687e-01 0.0000000000000000e+00 1.1968975791607341e-03 8.6050033458673038e-05 1 3.5432010071362070e+04 2.9466632167942586e-01 4.1881978202786445e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3632907075621619e-05 7.1361164507753631e+02 7.6564301801774752e+02 4.7222659864043095e+00 3.6018884491772787e+00 2.2547091957398642e+01 0.0000000000000000e+00 -3.8869424128138972e+05 -3.8869424128138972e+05 0.0000000000000000e+00
-3.7715247948378175e-02 5.3676746584163928e-03 0.0000000000000000e+00 9.9002365771655720e-01 -1.4090123193758522e-01 0.0000000000000000e+00 1.1968975791607351e-03 8.7001813353146704e-05 1 3.5157409133283400e+04 2.9321674464736081e-01 4.1762836957541344e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3585172660217848e-05 7.1397802806588425e+02 7.7225878867036670e+02 5.3861360650739263e+00 5.2678002272827804e+00 2.8602499898951894e+01 0.0000000000000000e+00 -3.8484176774727501e+05 -3.8484176774727501e+05 0.0000000000000000e+00
-3.7528035014718887e-02 6.5496906018744508e-03 0.0000000000000000e+00 9.8510932615477409e-01 -1.7192910027940886e-01 0.0000000000000000e+00 1.1968975791607354e-03 8.8184908980642893e-05 1 3.4810630275658885e+04 2.9135239404333041e-01 4.1615507300139450e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3526045724270793e-05 7.1437821566092282e+02 7.8017517657897235e+02 5.9995266871578465e+00 7.3028916084164885e+00 3.4404461665392660e+01 0.0000000000000000e+00 -3.8006507596659922e+05 -3.8006507596659922e+05 0.0000000000000000e+00
-3.7303786441314657e-02 7.7252427914621885e-03 0.0000000000000000e+00 9.7922281062176753e-01 -2.0278729535650417e-01 0.0000000000000000e+00 1.1968975791607336e-03 8.9595313613371707e-05 1 3.4398742118647351e+04 2.8911722696144299e-01 4.1441025080482126e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3455879936866713e-05 7.1479578855655927e+02 7.8938618003414354e+02 6.5779031927491705e+00 9.6682031519942804e+00 3.9873892472275884e+01 0.0000000000000000e+00 -3.7441815931171656e+05 -3.7441815931171656e+05 0.0000000000000000e+00
-3.7042723534433560e-02 8.8931710990946180e-03 0.0000000000000000e+00 9.7236992039767434e-01 -2.3344536385591497e-01 0.0000000000000000e+00 1.1968975791607380e-03 9.1228589164314423e-05 1 3.3919889296679386e+04 2.8647396363111932e-01 4.1241187964419379e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3375327919987275e-05 7.1519745419293679e+02 7.9962131699186727e+02 7.1326986045017922e+00 1.2328361640740866e+01 4.4978619067051305e+01 0.0000000000000000e+00 -3.6794059571299126e+05 -3.6794059571299126e+05 0.0000000000000000e+00
-3.6745103931646178e-02 1.0052322920537799e-02 0.0000000000000000e+00 9.6455741845779841e-01 -2.6387304996537225e-01 0.0000000000000000e+00 1.1968975791607351e-03 9.3080020551089676e-05 1 3.3378046674293553e+04 2.8343588737513992e-01 4.1017385776382423e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3284873351857501e-05 7.1553676874839550e+02 8.1071719367251228e+02 7.6687772712952995e+00 1.5234005337302664e+01 4.9654485012039522e+01 0.0000000000000000e+00 -3.6066182564693649e+05 -3.6066182564693649e+05 0.0000000000000000e+00
-3.6411221347568433e-02 1.1201554312890062e-02 0.0000000000000000e+00 9.5579301479832890e-01 -2.9404032523230772e-01 0.0000000000000000e+00 1.1968975791607321e-03 9.5144765100925224e-05 1 3.2777947639236940e+04 2.8001593987643686e-01 4.0771895316447865e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3185356141413783e-05 7.1578943481678789e+02 8.2250617093820688e+02 8.1897565401924677e+00 1.8337258826540399e+01 5.3859341495107415e+01 0.0000000000000000e+00 -3.5265650888369262e+05 -3.5265650888369262e+05 0.0000000000000000e+00
-3.6041405284000669e-02 1.2339731123515545e-02 0.0000000000000000e+00 9.4608535882754785e-01 -3.2391741819814196e-01 0.0000000000000000e+00 1.1968975791607358e-03 9.7417990100583354e-05 1 3.2123927966436961e+04 2.7622364425850621e-01 4.0506963650703824e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3077606563354187e-05 7.1594239711762941e+02 8.3480940311536858e+02 8.6986760077554006e+00 2.1596521961808719e+01 5.7573281506881372e+01 0.0000000000000000e+00 -3.4401536503007694e+05 -3.4401536503007694e+05 0.0000000000000000e+00
