0.016667 0.999931 101315.267536 564.971871 nan nan nan 
0.050000 0.999833 101301.334993 564.996534 nan nan nan 
0.083333 0.999724 101285.829324 565.023984 nan nan nan 
0.116667 0.999609 101269.598928 565.052718 nan nan nan 
0.150000 0.999491 101252.859172 565.082355 nan nan nan 
0.183333 0.999370 101235.654774 565.112818 nan nan nan 
0.216667 0.999246 101217.987721 565.144101 nan nan nan 
0.250000 0.999118 101199.849329 565.176222 nan nan nan 
0.283333 0.998986 101181.228090 565.209200 nan nan nan 
0.316667 0.998851 101162.111569 565.243058 nan nan nan 
0.350000 0.998713 101142.486864 565.277818 nan nan nan 
0.383333 0.998571 101122.340710 565.313505 nan nan nan 
0.416667 0.998425 101101.659499 565.350142 nan nan nan 
0.450000 0.998275 101080.429278 565.387755 nan nan nan 
0.483333 0.998122 101058.635744 565.426370 nan nan nan 
0.516667 0.997964 101036.264235 565.466012 nan nan nan 
0.550000 0.997802 101013.299723 565.506708 nan nan nan 
0.583333 0.997635 100989.726808 565.548486 nan nan nan 
0.616667 0.997465 100965.529703 565.591375 nan nan nan 
0.650000 0.997289 100940.692233 565.635403 nan nan nan 
0.683333 0.997109 100915.197819 565.680600 nan nan nan 
0.716667 0.996925 100889.029477 565.726997 nan nan nan 
0.750000 0.996735 100862.169800 565.774624 nan nan nan 
0.783333 0.996541 100834.600959 565.823514 nan nan nan 
0.816667 0.996341 100806.304683 565.873699 nan nan nan 
0.850000 0.996136 100777.262259 565.925214 nan nan nan 
0.883333 0.995925 100747.454515 565.978092 nan nan nan 
0.916667 0.995709 100716.861816 566.032369 nan nan nan 
0.950000 0.995488 100685.464050 566.088082 nan nan nan 
0.983333 0.995260 100653.240622 566.145266 nan nan nan 
1.016667 0.995026 100620.170438 566.203961 nan nan nan 
1.050000 0.994787 100586.231902 566.264206 nan nan nan 
1.083333 0.994541 100551.402900 566.326039 nan nan nan 
1.116667 0.994288 100515.660792 566.389502 nan nan nan 
1.150000 0.994029 100478.982400 566.454637 nan nan nan 
1.183333 0.993763 100441.344002 566.521487 nan nan nan 
1.216667 0.993490 100402.721314 566.590095 nan nan nan 
1.250000 0.993210 100363.089483 566.660507 nan nan nan 
1.283333 0.992922 100322.423078 566.732769 nan nan nan 
1.316667 0.992627 100280.696076 566.806927 nan nan nan 
1.350000 0.992325 100237.881850 566.883031 nan nan nan 
